                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 3.2893,                  5.183,                  3.795,                0.00082,                0.04045,                0.00096,                0.00024,                 3.1883,                 5.3037,                 3.8272,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                 3.3401,                 5.1421,                 3.8103,                0.00068,                0.03919,                0.00226,                0.00038,                  3.187,                 5.2996,                 3.8224,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                 3.3397,                 5.2172,                 3.7763,                0.00082,                0.03849,                0.00241,                0.00047,                 3.1871,                 5.2915,                 3.8205,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                 3.3373,                 5.2028,                 3.8033,                0.00086,                0.03165,                0.00176,                0.00044,                 3.1836,                 5.2946,                 3.8208,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                 3.2829,                 5.2787,                 3.8139,                0.00094,                0.03176,                0.00145,                0.00047,                 3.1792,                 5.2967,                 3.8203,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                 3.2691,                 5.2283,                 3.8081,                0.00111,                0.03562,                0.00156,                0.00052,                 3.1743,                  5.296,                 3.8185,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                 3.3511,                 5.1769,                 3.8044,                0.00105,                0.03889,                0.00134,                0.00048,                 3.1726,                 5.2992,                 3.8196,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                 3.3472,                 5.0988,                 3.7925,                0.00104,                0.04192,                0.00135,                0.00043,                  3.173,                 5.2915,                 3.8183,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                 3.1679,                 5.3757,                 3.7699,                0.00103,                0.03797,                0.00169,                 0.0005,                 3.1703,                 5.2768,                 3.8081,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                 3.1539,                 5.3734,                 3.7532,                0.00105,                0.03898,                0.00196,                0.00061,                 3.1717,                 5.2795,                 3.7997,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                 3.2654,                 5.3869,                 3.7684,                0.00109,                 0.0392,                0.00172,                0.00057,                 3.1771,                  5.279,                 3.7954,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                 3.2018,                 5.3742,                 3.7385,                0.00071,                0.03467,                0.00131,                0.00052,                 3.1815,                 5.2781,                 3.7895,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                 3.1681,                 5.3945,                 3.7404,                0.00066,                0.03119,                0.00135,                0.00052,                 3.1841,                 5.2755,                 3.7832,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 3.1829,                 5.3501,                 3.7771,                0.00072,                0.03545,                0.00137,                0.00048,                 3.1845,                 5.2805,                 3.7794,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                  3.179,                 5.3312,                 3.7159,                0.00112,                0.03897,                0.00158,                0.00051,                 3.1862,                 5.2767,                 3.7737,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                 3.2357,                 5.3227,                  3.749,                0.00144,                0.04305,                0.00189,                0.00055,                 3.1852,                 5.2754,                 3.7714,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                   3.23,                 5.3148,                 3.7523,                 0.0012,                0.03908,                0.00166,                0.00051,                 3.1854,                 5.2728,                 3.7678,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                 3.2109,                 5.3707,                 3.7776,                0.00096,                0.03752,                0.00143,                0.00045,                 3.1859,                 5.2697,                 3.7677,             3.5462e-06,             3.5462e-06,             3.5462e-06
